User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,Age_Group,App_Usage_Count_Group
U22,30,Other,Professional,iOS,9.5,6.9,2,8.4,6,28,2,3.9,29-39,High (21-35)
U23,59,Female,Freelancer,Android,10.9,4.9,5,8.8,8,31,6,2.7,51-60,High (21-35)
U24,52,Female,Student,iOS,5.5,5.1,4,8.3,8,40,2,12.5,51-60,Heavy (36-50)
U25,44,Female,Business Owner,Android,3.7,4.2,7,6.7,6,40,5,12.0,40-50,Heavy (36-50)
U26,32,Female,Professional,iOS,10.1,7.5,8,7.3,10,31,4,6.9,29-39,High (21-35)
U27,46,Male,Business Owner,iOS,1.2,6.5,4,5.7,10,15,3,11.1,40-50,Moderate (11-20)
U28,55,Other,Student,iOS,9.7,6.1,1,6.3,10,18,2,5.1,51-60,Moderate (11-20)
U29,35,Male,Professional,iOS,11.7,1.6,1,4.9,10,42,4,4.7,29-39,Heavy (36-50)
U30,18,Other,Student,iOS,11.4,7.8,3,5.4,7,41,0,8.9,18-28,Heavy (36-50)
U31,28,Other,Student,Android,2.1,2.3,1,4.3,9,59,1,10.4,18-28,Heavy (36-50)
U32,45,Other,Freelancer,Android,5.8,3.8,4,5.9,10,25,0,7.9,40-50,High (21-35)
U33,39,Other,Professional,Android,8.2,2.3,8,7.8,6,41,3,4.1,29-39,Heavy (36-50)
U34,35,Other,Freelancer,iOS,3.4,2.0,7,7.1,6,21,1,9.8,29-39,High (21-35)
U35,27,Female,Student,Android,11.8,6.3,5,6.0,1,40,0,13.3,18-28,Heavy (36-50)
U36,31,Male,Freelancer,Android,7.1,2.0,9,8.4,5,58,0,6.1,29-39,Heavy (36-50)
U37,39,Female,Professional,iOS,3.8,2.4,9,4.4,2,46,1,5.3,29-39,Heavy (36-50)
U38,24,Male,Freelancer,iOS,3.9,6.4,6,7.9,5,57,1,5.1,18-28,Heavy (36-50)
U39,23,Other,Professional,Android,8.3,0.5,2,4.3,5,52,1,3.8,18-28,Heavy (36-50)
U40,42,Male,Student,iOS,1.8,2.0,2,6.6,10,54,4,7.0,40-50,Heavy (36-50)
U41,24,Male,Student,iOS,3.4,4.7,2,5.1,2,47,6,12.4,18-28,Heavy (36-50)
U42,40,Female,Professional,iOS,9.6,6.2,3,4.6,7,46,0,3.6,40-50,Heavy (36-50)
U43,40,Female,Student,iOS,1.2,0.6,5,7.9,8,6,0,5.1,40-50,Light (1-10)
U44,56,Male,Professional,Android,1.0,7.1,9,7.7,10,23,6,2.1,51-60,High (21-35)
U45,34,Female,Professional,iOS,1.5,6.4,7,6.6,9,17,2,5.6,29-39,Moderate (11-20)
U46,20,Male,Student,iOS,9.0,0.9,6,8.7,4,56,5,8.6,18-28,Heavy (36-50)
U47,47,Female,Freelancer,iOS,5.5,6.9,10,5.1,9,6,6,2.1,40-50,Light (1-10)
U48,52,Male,Freelancer,iOS,5.2,4.9,9,7.1,1,6,4,6.9,51-60,Light (1-10)
U49,25,Female,Freelancer,iOS,10.4,1.5,9,4.3,8,37,5,9.0,18-28,Heavy (36-50)
U50,42,Male,Business Owner,iOS,8.1,4.5,4,5.6,2,26,3,9.8,40-50,High (21-35)
U51,23,Female,Student,Android,9.7,6.0,1,8.6,4,34,6,10.1,18-28,High (21-35)
U52,53,Female,Freelancer,Android,6.8,7.2,9,7.5,10,37,2,12.3,51-60,Heavy (36-50)
U53,36,Female,Freelancer,iOS,4.0,5.0,6,6.9,9,32,3,13.0,29-39,High (21-35)
U54,58,Male,Professional,Android,6.0,7.3,2,4.5,1,33,4,9.1,51-60,High (21-35)
U55,57,Female,Professional,Android,11.7,5.9,10,5.8,3,12,5,14.0,51-60,Moderate (11-20)
U56,41,Female,Professional,iOS,6.3,2.6,1,4.8,4,35,3,8.2,40-50,High (21-35)
U57,54,Male,Student,Android,3.8,7.8,5,8.9,9,24,6,5.6,51-60,High (21-35)
U58,30,Female,Professional,iOS,3.5,2.3,8,4.3,1,49,6,12.2,29-39,Heavy (36-50)
U59,22,Female,Freelancer,Android,2.0,7.9,5,4.9,6,40,5,2.7,18-28,Heavy (36-50)
U60,20,Male,Freelancer,Android,9.8,6.8,1,8.2,8,43,0,12.2,18-28,Heavy (36-50)
U61,60,Female,Freelancer,Android,1.4,4.7,6,7.2,8,5,2,6.4,51-60,Light (1-10)
U62,32,Male,Professional,Android,9.7,7.3,2,5.8,5,45,0,10.5,29-39,Heavy (36-50)
U63,36,Female,Professional,iOS,5.0,3.4,3,7.7,3,45,1,8.2,29-39,Heavy (36-50)
U64,23,Female,Freelancer,iOS,3.9,7.7,6,5.0,6,24,0,3.7,18-28,High (21-35)
U65,32,Female,Freelancer,Android,5.7,5.2,8,5.7,2,16,6,2.7,29-39,Moderate (11-20)
U66,24,Female,Professional,iOS,5.7,1.8,7,5.4,1,31,6,7.6,18-28,High (21-35)
U67,42,Other,Professional,Android,8.1,4.6,3,8.2,5,13,6,9.6,40-50,Moderate (11-20)
U68,35,Other,Professional,Android,3.7,4.2,10,5.6,4,58,4,11.3,29-39,Heavy (36-50)
U69,47,Other,Student,Android,10.2,2.4,4,5.3,10,16,4,5.4,40-50,Moderate (11-20)
U70,58,Other,Business Owner,iOS,7.4,8.0,10,4.7,9,41,5,9.6,51-60,Heavy (36-50)
U71,41,Other,Student,Android,3.7,0.9,2,7.2,6,55,0,12.4,40-50,Heavy (36-50)
U72,28,Male,Student,iOS,4.3,7.1,5,6.1,4,9,6,7.1,18-28,Light (1-10)
U73,41,Other,Freelancer,Android,11.5,4.6,6,6.6,7,52,3,11.1,40-50,Heavy (36-50)
U74,40,Female,Student,iOS,9.1,6.1,6,7.4,10,27,6,10.6,40-50,High (21-35)
U75,31,Other,Freelancer,iOS,4.5,7.2,1,5.8,7,15,6,11.6,29-39,Moderate (11-20)
U76,60,Other,Student,Android,10.1,7.5,5,6.8,2,53,5,9.1,51-60,Heavy (36-50)
U77,35,Female,Student,Android,6.7,3.8,1,5.1,8,45,3,8.0,29-39,Heavy (36-50)
U78,59,Other,Business Owner,Android,10.2,5.5,10,5.0,8,60,5,12.0,51-60,Heavy (36-50)
U79,22,Female,Business Owner,iOS,6.6,3.0,6,7.0,9,36,2,12.8,18-28,Heavy (36-50)
U80,56,Female,Professional,iOS,1.6,4.7,7,7.6,6,8,4,11.5,51-60,Light (1-10)
U81,58,Male,Professional,iOS,4.7,3.8,10,7.6,5,32,3,11.1,51-60,High (21-35)
U82,28,Other,Professional,iOS,11.7,3.9,4,4.6,4,6,6,3.0,18-28,Light (1-10)
U83,52,Other,Business Owner,Android,11.3,2.8,9,6.4,1,16,1,2.5,51-60,Moderate (11-20)
U84,33,Other,Professional,iOS,8.6,6.7,1,9.0,3,44,0,13.7,29-39,Heavy (36-50)
U85,28,Male,Freelancer,iOS,10.8,1.2,5,4.6,4,28,5,13.4,18-28,High (21-35)
U86,47,Male,Student,Android,2.9,2.1,7,7.5,8,10,4,5.0,40-50,Light (1-10)
U87,42,Other,Student,iOS,9.3,7.1,5,7.9,5,26,6,8.9,40-50,High (21-35)
U88,35,Female,Business Owner,Android,9.4,1.3,7,7.9,4,35,6,2.4,29-39,High (21-35)
U89,58,Other,Professional,iOS,11.4,4.4,9,6.6,9,30,5,11.9,51-60,High (21-35)
U90,53,Male,Freelancer,Android,10.3,7.9,10,4.9,10,20,3,11.7,51-60,Moderate (11-20)
U91,32,Female,Student,iOS,6.4,7.9,9,5.3,6,39,1,4.4,29-39,Heavy (36-50)
U92,38,Other,Freelancer,Android,10.3,3.3,9,4.7,10,33,1,7.6,29-39,High (21-35)
U93,21,Other,Professional,Android,1.5,7.3,1,6.9,4,44,3,12.0,18-28,Heavy (36-50)
U94,32,Female,Freelancer,Android,1.4,2.3,1,5.3,1,11,1,10.5,29-39,Moderate (11-20)
U95,20,Female,Professional,iOS,3.7,4.3,10,4.1,8,15,2,10.6,18-28,Moderate (11-20)
U96,38,Male,Freelancer,iOS,3.0,5.0,7,7.5,6,16,6,7.6,29-39,Moderate (11-20)
U97,43,Male,Business Owner,iOS,8.7,2.7,4,6.5,1,25,4,4.7,40-50,High (21-35)
U98,35,Other,Business Owner,iOS,5.5,6.4,3,5.5,6,29,5,8.6,29-39,High (21-35)
U99,22,Male,Freelancer,Android,10.7,2.9,6,4.5,1,8,6,2.8,18-28,Light (1-10)
U100,31,Other,Student,iOS,9.4,2.8,3,7.6,9,35,3,13.7,29-39,High (21-35)
U101,54,Male,Freelancer,Android,3.4,8.0,6,5.9,1,28,3,10.7,51-60,High (21-35)
U102,38,Female,Freelancer,Android,1.3,1.5,6,5.2,2,17,1,11.3,29-39,Moderate (11-20)
U103,31,Male,Student,Android,4.6,6.4,4,8.2,6,10,0,13.7,29-39,Light (1-10)
U104,59,Other,Freelancer,Android,5.8,6.0,3,4.0,3,6,3,5.3,51-60,Light (1-10)
U105,49,Female,Business Owner,iOS,3.8,7.2,4,5.1,9,17,0,13.3,40-50,Moderate (11-20)
U106,43,Female,Student,iOS,1.3,6.9,3,7.3,5,28,1,9.8,40-50,High (21-35)
U107,59,Other,Business Owner,iOS,9.9,1.9,3,7.3,10,21,6,9.8,51-60,High (21-35)
U108,47,Male,Freelancer,iOS,7.8,7.9,1,5.0,9,46,1,8.3,40-50,Heavy (36-50)
U109,27,Female,Freelancer,iOS,11.8,6.5,3,8.7,10,46,3,13.7,18-28,Heavy (36-50)
U110,34,Male,Freelancer,Android,6.0,6.7,3,6.4,6,5,2,10.6,29-39,Light (1-10)
U111,26,Female,Business Owner,iOS,9.1,3.2,4,6.7,9,9,6,3.9,18-28,Light (1-10)
U112,33,Other,Professional,Android,9.4,5.7,7,5.2,1,38,3,11.9,29-39,Heavy (36-50)
U113,53,Female,Business Owner,iOS,10.3,6.8,1,5.3,5,44,5,9.9,51-60,Heavy (36-50)
U114,52,Male,Student,iOS,5.1,6.0,5,6.2,4,43,0,11.6,51-60,Heavy (36-50)
U115,34,Other,Student,Android,3.0,6.4,8,8.3,4,8,6,8.9,29-39,Light (1-10)
U116,55,Female,Business Owner,Android,8.8,1.1,4,5.3,5,56,0,6.5,51-60,Heavy (36-50)
U117,45,Female,Student,iOS,2.6,3.6,9,4.3,7,28,0,6.5,40-50,High (21-35)
U118,55,Other,Freelancer,Android,4.9,6.7,10,6.7,6,53,1,2.9,51-60,Heavy (36-50)
U119,43,Other,Student,iOS,8.4,7.1,6,6.4,9,15,3,5.9,40-50,Moderate (11-20)
U120,41,Male,Professional,Android,7.2,1.6,4,8.9,10,16,3,12.9,40-50,Moderate (11-20)
U121,32,Female,Student,Android,5.5,7.2,3,5.8,1,43,5,9.3,29-39,Heavy (36-50)
U122,26,Female,Student,iOS,5.8,4.3,4,4.8,5,45,0,2.5,18-28,Heavy (36-50)
U123,50,Female,Business Owner,Android,3.9,7.5,1,4.6,2,12,1,7.9,40-50,Moderate (11-20)
U124,49,Female,Professional,iOS,6.2,3.8,8,8.7,8,20,5,10.9,40-50,Moderate (11-20)
U125,23,Male,Freelancer,iOS,3.7,1.7,10,7.4,5,10,0,6.0,18-28,Light (1-10)
U126,21,Male,Student,Android,5.2,4.0,7,6.8,10,26,4,2.3,18-28,High (21-35)
U127,25,Female,Business Owner,Android,9.1,3.7,8,7.9,9,16,3,7.7,18-28,Moderate (11-20)
U128,27,Other,Student,Android,10.6,1.6,7,4.2,6,29,4,4.4,18-28,High (21-35)
U129,58,Male,Professional,iOS,9.4,7.4,5,7.6,2,51,3,9.4,51-60,Heavy (36-50)
U130,28,Male,Professional,iOS,5.9,4.6,5,9.0,1,53,4,6.3,18-28,Heavy (36-50)
U131,45,Female,Business Owner,iOS,2.3,3.4,10,5.6,4,48,1,8.4,40-50,Heavy (36-50)
U132,56,Male,Professional,Android,5.6,6.1,1,6.4,10,29,6,10.3,51-60,High (21-35)
U133,22,Female,Professional,Android,1.9,4.5,1,7.5,7,12,6,12.4,18-28,Moderate (11-20)
U134,42,Male,Business Owner,iOS,9.3,3.5,3,7.7,7,14,1,4.3,40-50,Moderate (11-20)
U135,42,Female,Student,iOS,5.1,0.8,7,8.6,5,6,1,13.9,40-50,Light (1-10)
U136,56,Female,Student,Android,3.1,1.4,7,7.7,10,57,5,4.8,51-60,Heavy (36-50)
U137,47,Female,Freelancer,Android,10.0,7.6,6,8.1,6,19,5,5.5,40-50,Moderate (11-20)
U138,51,Female,Business Owner,Android,7.8,3.7,4,7.4,3,58,1,11.2,51-60,Heavy (36-50)
U139,34,Male,Business Owner,Android,4.2,1.5,6,7.4,10,8,1,5.5,29-39,Light (1-10)
U140,53,Other,Business Owner,Android,2.5,3.3,1,8.0,9,51,2,9.0,51-60,Heavy (36-50)
U141,18,Male,Business Owner,Android,3.3,6.8,1,8.6,5,59,4,12.0,18-28,Heavy (36-50)
U142,25,Male,Freelancer,iOS,11.2,1.0,8,4.1,8,52,4,8.7,18-28,Heavy (36-50)
U143,52,Female,Professional,Android,2.4,4.1,6,7.0,6,21,2,7.3,51-60,High (21-35)
U144,35,Other,Professional,Android,7.8,3.0,7,4.2,5,51,3,5.2,29-39,Heavy (36-50)
U145,59,Male,Business Owner,iOS,7.2,5.3,9,5.2,5,6,1,6.2,51-60,Light (1-10)
U146,39,Male,Freelancer,iOS,5.0,1.4,9,5.9,3,34,2,5.7,29-39,High (21-35)
U147,25,Male,Student,Android,2.5,5.1,7,8.2,9,5,1,9.6,18-28,Light (1-10)
U148,36,Other,Business Owner,Android,6.2,1.4,5,6.4,7,36,0,8.8,29-39,Heavy (36-50)
U149,45,Female,Student,iOS,4.8,1.9,1,7.2,2,15,6,10.9,40-50,Moderate (11-20)
U150,28,Male,Freelancer,iOS,2.8,2.8,9,8.6,6,43,2,9.3,18-28,Heavy (36-50)
U151,47,Other,Business Owner,iOS,6.9,6.5,1,5.0,7,56,0,3.0,40-50,Heavy (36-50)
U152,18,Female,Freelancer,iOS,3.4,4.8,1,4.9,1,16,4,9.1,18-28,Moderate (11-20)
U153,34,Female,Freelancer,iOS,8.0,3.6,8,7.4,6,52,1,12.5,29-39,Heavy (36-50)
U154,50,Male,Professional,Android,9.8,3.6,8,4.6,10,59,5,7.3,40-50,Heavy (36-50)
U155,29,Male,Professional,iOS,7.5,5.9,4,5.6,9,24,0,8.5,29-39,High (21-35)
U156,50,Other,Student,iOS,5.8,1.0,7,7.7,4,37,3,8.6,40-50,Heavy (36-50)
U157,24,Other,Professional,Android,3.1,6.7,5,6.2,2,16,2,12.8,18-28,Moderate (11-20)
U158,58,Female,Professional,iOS,5.2,3.2,2,5.7,6,19,6,6.7,51-60,Moderate (11-20)
U159,37,Female,Freelancer,Android,5.3,3.2,7,9.0,7,52,1,4.7,29-39,Heavy (36-50)
U160,58,Male,Student,iOS,3.9,4.5,10,8.1,9,15,1,11.3,51-60,Moderate (11-20)
U161,50,Other,Student,iOS,11.9,0.7,8,6.5,10,15,3,9.2,40-50,Moderate (11-20)
U162,56,Female,Professional,Android,5.0,2.9,2,5.7,10,30,5,13.5,51-60,High (21-35)
U163,30,Male,Professional,iOS,4.9,7.5,5,6.3,3,27,3,11.9,29-39,High (21-35)
U164,27,Female,Professional,Android,2.1,7.1,7,5.0,1,41,0,6.5,18-28,Heavy (36-50)
U165,41,Female,Student,Android,8.2,7.7,1,8.1,1,24,2,5.4,40-50,High (21-35)
U166,28,Male,Student,iOS,2.4,7.8,7,6.1,7,41,2,5.7,18-28,Heavy (36-50)
U167,52,Female,Student,Android,11.5,6.2,3,4.2,5,27,5,2.8,51-60,High (21-35)
U168,51,Female,Student,Android,3.9,0.6,2,8.8,3,55,3,8.7,51-60,Heavy (36-50)
U169,18,Other,Professional,Android,2.3,0.8,7,4.4,1,55,6,11.5,18-28,Heavy (36-50)
U170,56,Other,Freelancer,Android,11.0,7.3,1,6.1,3,40,1,8.4,51-60,Heavy (36-50)
U171,38,Other,Professional,Android,5.1,6.9,9,6.6,2,56,2,6.1,29-39,Heavy (36-50)
U172,49,Male,Freelancer,iOS,2.5,4.3,7,4.3,1,56,5,10.4,40-50,Heavy (36-50)
U173,19,Other,Student,Android,5.8,4.0,9,8.8,8,26,4,8.9,18-28,High (21-35)
U174,25,Female,Freelancer,Android,11.1,1.2,2,5.2,1,10,5,2.1,18-28,Light (1-10)
U175,41,Other,Professional,Android,11.6,7.6,7,6.6,2,12,2,2.6,40-50,Moderate (11-20)
U176,37,Other,Professional,iOS,10.3,7.8,9,4.9,6,18,3,3.9,29-39,Moderate (11-20)
U177,33,Male,Student,Android,3.7,5.6,5,6.5,3,57,2,3.3,29-39,Heavy (36-50)
U178,21,Other,Professional,iOS,5.1,4.7,8,5.0,8,11,2,12.9,18-28,Moderate (11-20)
U179,33,Male,Student,Android,5.3,1.3,6,6.6,7,31,2,10.9,29-39,High (21-35)
U180,54,Female,Freelancer,Android,7.9,2.2,1,4.4,3,51,1,12.5,51-60,Heavy (36-50)
U181,23,Male,Student,Android,3.8,6.5,10,6.1,3,41,4,7.3,18-28,Heavy (36-50)
U182,23,Female,Student,Android,10.2,2.9,2,5.0,8,49,3,9.6,18-28,Heavy (36-50)
U183,49,Male,Student,iOS,3.6,2.2,2,4.6,5,50,2,11.8,40-50,Heavy (36-50)
U184,22,Male,Student,iOS,5.9,5.6,8,4.9,2,52,2,7.7,18-28,Heavy (36-50)
U185,52,Female,Freelancer,iOS,2.7,5.2,6,7.4,1,23,3,11.6,51-60,High (21-35)
U186,26,Male,Student,iOS,2.2,1.5,5,4.0,4,25,6,5.4,18-28,High (21-35)
U187,26,Male,Business Owner,iOS,6.1,6.6,4,4.9,5,29,3,4.9,18-28,High (21-35)
U188,60,Female,Business Owner,iOS,6.0,7.2,6,7.9,9,40,5,12.5,51-60,Heavy (36-50)
U189,48,Male,Freelancer,Android,2.5,2.9,1,6.7,8,46,5,8.2,40-50,Heavy (36-50)
U190,53,Other,Professional,Android,3.6,4.5,9,4.4,4,42,5,11.6,51-60,Heavy (36-50)
U191,28,Other,Freelancer,iOS,2.0,7.4,6,5.4,4,18,3,4.6,18-28,Moderate (11-20)
U192,34,Male,Business Owner,iOS,1.4,2.2,9,8.1,1,25,4,2.8,29-39,High (21-35)
U193,51,Other,Student,Android,3.3,4.3,7,5.9,6,41,0,13.3,51-60,Heavy (36-50)
U194,56,Other,Freelancer,Android,3.0,7.6,4,6.8,3,39,0,9.0,51-60,Heavy (36-50)
U195,45,Male,Student,iOS,2.8,4.9,5,7.7,1,33,4,5.1,40-50,High (21-35)
U196,31,Female,Student,iOS,4.5,5.6,5,7.4,2,30,0,7.2,29-39,High (21-35)
U197,52,Other,Student,iOS,5.0,3.3,9,5.7,10,54,2,5.3,51-60,Heavy (36-50)
U198,30,Male,Freelancer,iOS,4.0,3.0,4,8.1,1,43,3,4.6,29-39,Heavy (36-50)
U199,37,Other,Freelancer,Android,8.4,5.0,4,8.6,3,49,1,3.6,29-39,Heavy (36-50)
U200,43,Male,Professional,iOS,8.4,1.0,8,8.6,4,26,4,7.9,40-50,High (21-35)
U201,60,Male,Business Owner,Android,5.1,3.1,2,8.9,9,53,5,13.8,51-60,Heavy (36-50)
U202,59,Female,Student,iOS,2.5,2.8,5,7.8,4,17,3,13.6,51-60,Moderate (11-20)
U203,41,Female,Business Owner,iOS,5.3,1.4,10,8.4,3,17,1,6.8,40-50,Moderate (11-20)
U204,46,Male,Professional,iOS,1.8,4.5,6,8.5,6,5,4,11.9,40-50,Light (1-10)
U205,51,Female,Student,iOS,5.5,4.8,9,7.4,1,13,6,9.6,51-60,Moderate (11-20)
U206,46,Male,Business Owner,Android,6.6,1.7,7,8.6,5,11,5,12.5,40-50,Moderate (11-20)
U207,25,Male,Freelancer,iOS,7.5,6.0,2,8.3,7,15,5,9.6,18-28,Moderate (11-20)
U208,33,Male,Freelancer,Android,3.4,7.3,2,4.4,10,10,2,6.4,29-39,Light (1-10)
U209,32,Female,Business Owner,iOS,7.2,7.2,6,4.2,9,13,3,3.7,29-39,Moderate (11-20)
U210,22,Male,Student,iOS,1.9,5.7,4,6.4,3,58,6,4.2,18-28,Heavy (36-50)
U211,39,Female,Business Owner,iOS,2.5,4.3,9,6.8,8,48,5,7.2,29-39,Heavy (36-50)
U212,19,Female,Freelancer,iOS,11.1,5.4,5,5.5,1,6,5,12.6,18-28,Light (1-10)
U213,55,Other,Freelancer,iOS,11.4,2.1,1,5.2,3,13,1,7.1,51-60,Moderate (11-20)
U214,53,Female,Professional,Android,4.3,7.2,8,7.4,4,57,1,14.0,51-60,Heavy (36-50)
U215,32,Female,Professional,iOS,3.1,3.4,3,5.1,9,59,2,7.1,29-39,Heavy (36-50)
U216,55,Female,Freelancer,Android,7.0,5.9,9,5.3,2,52,2,6.7,51-60,Heavy (36-50)
U217,32,Female,Freelancer,Android,11.1,1.2,10,6.0,1,13,4,7.6,29-39,Moderate (11-20)
U218,18,Other,Business Owner,iOS,1.1,6.4,6,5.3,7,36,3,6.1,18-28,Heavy (36-50)
U219,22,Female,Business Owner,Android,8.5,3.5,5,7.0,2,5,2,12.5,18-28,Light (1-10)
U220,58,Other,Professional,Android,7.2,5.6,3,6.8,10,42,4,10.1,51-60,Heavy (36-50)
U221,21,Other,Student,iOS,4.5,3.0,10,4.3,10,27,0,6.1,18-28,High (21-35)
U222,32,Male,Business Owner,Android,3.1,7.9,1,4.6,5,14,6,13.1,29-39,Moderate (11-20)
U223,22,Other,Student,iOS,6.5,6.9,2,4.4,7,17,1,7.7,18-28,Moderate (11-20)
U224,20,Other,Student,Android,2.6,2.0,10,7.1,3,23,3,4.2,18-28,High (21-35)
U225,39,Female,Business Owner,Android,7.3,2.3,6,7.8,5,52,1,8.8,29-39,Heavy (36-50)
U226,22,Female,Business Owner,iOS,2.0,6.9,4,6.6,10,19,0,7.2,18-28,Moderate (11-20)
U227,50,Other,Freelancer,Android,10.9,7.8,5,7.0,8,15,4,13.8,40-50,Moderate (11-20)
U228,33,Female,Student,iOS,9.6,5.8,7,5.3,8,59,5,2.5,29-39,Heavy (36-50)
U229,35,Other,Business Owner,Android,10.3,2.9,7,8.8,8,41,0,3.6,29-39,Heavy (36-50)
U230,60,Other,Freelancer,Android,2.5,6.5,8,6.3,2,20,6,2.8,51-60,Moderate (11-20)
U231,49,Female,Business Owner,Android,4.9,5.0,9,5.3,4,29,3,13.6,40-50,High (21-35)
U232,31,Female,Student,iOS,10.3,1.7,3,7.8,3,42,0,10.1,29-39,Heavy (36-50)
U233,52,Other,Student,iOS,4.8,3.4,8,6.1,10,12,3,8.9,51-60,Moderate (11-20)
U234,26,Other,Freelancer,Android,5.6,7.8,3,7.9,2,15,0,2.0,18-28,Moderate (11-20)
U235,54,Male,Professional,Android,10.3,7.6,7,7.6,1,45,3,11.4,51-60,Heavy (36-50)
U236,54,Other,Freelancer,iOS,8.5,5.8,3,5.2,7,37,4,12.5,51-60,Heavy (36-50)
U237,48,Female,Student,iOS,2.2,2.0,9,7.7,5,21,1,10.7,40-50,High (21-35)
U238,33,Female,Business Owner,Android,6.2,6.4,8,4.6,1,29,1,2.6,29-39,High (21-35)
U239,48,Other,Professional,iOS,6.0,5.6,8,7.8,5,41,0,9.9,40-50,Heavy (36-50)
U240,44,Other,Freelancer,iOS,2.9,3.3,7,6.7,3,26,6,3.5,40-50,High (21-35)
U241,30,Male,Freelancer,iOS,10.1,0.9,1,5.3,6,50,6,13.6,29-39,Heavy (36-50)
U242,24,Male,Student,Android,3.1,2.6,1,8.0,1,40,2,8.5,18-28,Heavy (36-50)
U243,24,Male,Business Owner,Android,8.6,6.1,2,8.0,8,57,0,8.2,18-28,Heavy (36-50)
U244,60,Female,Business Owner,Android,4.8,7.5,6,4.8,1,46,2,6.1,51-60,Heavy (36-50)
U245,45,Female,Freelancer,iOS,10.7,2.4,1,5.5,1,54,6,7.1,40-50,Heavy (36-50)
U246,40,Female,Professional,iOS,6.7,1.8,3,4.6,2,10,1,10.9,40-50,Light (1-10)
U247,45,Other,Student,iOS,4.3,6.1,6,6.5,9,23,2,4.2,40-50,High (21-35)
U248,44,Female,Freelancer,Android,10.0,1.8,2,8.3,8,60,1,2.5,40-50,Heavy (36-50)
U249,47,Male,Freelancer,Android,3.4,3.3,4,7.0,6,25,2,10.2,40-50,High (21-35)
U250,21,Other,Freelancer,iOS,5.0,5.6,8,6.1,9,13,1,13.6,18-28,Moderate (11-20)
U251,59,Female,Business Owner,Android,2.6,0.5,8,8.8,8,44,1,3.4,51-60,Heavy (36-50)
U252,59,Female,Business Owner,iOS,3.1,4.9,8,7.3,1,59,2,10.0,51-60,Heavy (36-50)
U253,24,Other,Freelancer,iOS,10.6,7.3,10,4.7,1,18,2,8.8,18-28,Moderate (11-20)
U254,21,Female,Student,iOS,7.3,2.6,8,8.5,8,15,1,5.4,18-28,Moderate (11-20)
U255,43,Other,Business Owner,Android,4.3,3.2,1,7.9,9,30,5,9.7,40-50,High (21-35)
U256,39,Other,Professional,iOS,5.3,5.9,6,5.3,3,11,0,12.1,29-39,Moderate (11-20)
U257,24,Male,Professional,iOS,3.1,2.9,5,8.1,3,56,4,9.5,18-28,Heavy (36-50)
U258,33,Other,Freelancer,Android,4.9,3.7,4,4.8,3,29,5,4.1,29-39,High (21-35)
